Tree,Genotype,Geopora.Pct.Total,Hebeloma.Pct.Total,Tuber.Pct.Total,Tomentella.Pct.Total
N4-24,10,0.10654490,0.17808219,0.00000000,0.00000000
N6-10,10,0.05780347,0.12138728,0.00000000,0.00000000
N7-10,10,0.27209302,0.00000000,0.00000000,0.00000000
N2-25,1008,0.17403315,0.00000000,0.17403315,0.00000000
N3-17,1008,0.14114114,0.17717718,0.00000000,0.00000000
N3-22,1008,0.08051948,0.13506493,0.00000000,0.00000000
N4-14,1008,0.08365759,0.00000000,0.00000000,0.00000000
N2-11,1012,0.10992908,0.00000000,0.00000000,0.00000000
N2-17,1012,0.06151420,0.23028391,0.00000000,0.00000000
N2-20,1012,0.10863510,0.09470752,0.00000000,0.08356546
N2-45,1012,0.13385827,0.00000000,0.00000000,0.00000000
N1-04,1017,0.27525253,0.13383838,0.00000000,0.00000000
N1-08,1017,0.31833333,0.00000000,0.00000000,0.00000000
N2-03,1017,0.30147059,0.00000000,0.00000000,0.00000000
N3-13,1017,0.00000000,0.47761194,0.00000000,0.00000000
N1-12,T15,0.46864687,0.00000000,0.00000000,0.00000000
N2-27,T15,0.37662338,0.06493507,0.00000000,0.00000000
N4-17,T15,0.25735294,0.00000000,0.00000000,0.00000000
N2-31,WC5,0.19387755,0.00000000,0.08503401,0.00000000
N4-12,WC5,0.16274090,0.00000000,0.26766595,0.00000000
N7-08,WC5,0.27843137,0.05098039,0.00000000,0.00000000
